Metropolitana;Pacientes UCI;Casos totales;Fallecidos
01/04/2020;83;1521;18
02/04/2020;90;1636;24
03/04/2020;107;1742;31
04/04/2020;129;1957;39
05/04/2020;146;2102;40
06/04/2020;161;2244;46
07/04/2020;160;2350;52
08/04/2020;174;2548;63
09/04/2020;164;2832;72
10/04/2020;181;3193;79
11/04/2020;178;3448;87
12/04/2020;185;3599;91
13/04/2020;189;3803;101
14/04/2020;190;4086;105
15/04/2020;198;4334;116
16/04/2020;196;4682;124
17/04/2020;202;4915;130
18/04/2020;181;5192;137
19/04/2020;186;5381;147
20/04/2020;194;5643;157
21/04/2020;204;5788;168
22/04/2020;213;6083;173
23/04/2020;234;6434;181
24/04/2020;242;6761;190
25/04/2020;246;7165;197
26/04/2020;248;7496;210
27/04/2020;252;7858;224
28/04/2020;258;8300;232
29/04/2020;256;8889;241
30/04/2020;257;9625;254
01/05/2020;262;10516;265
02/05/2020;269;11661;274
03/05/2020;289;12656;293
04/05/2020;303;13528;308
05/05/2020;314;14707;323
06/05/2020;340;15582;345
07/05/2020;348;16828;377
08/05/2020;366;17979;396
09/05/2020;394;18957;430
10/05/2020;415;20353;463
11/05/2020;421;21317;488
12/05/2020;450;22709;520
13/05/2020;490;24965;561
14/05/2020;509;27216;604
15/05/2020;551;29276;647
16/05/2020;581;30794;708
17/05/2020;595;32684;764
18/05/2020;620;34451;840
19/05/2020;682;37591;913
20/05/2020;705;41179;994
21/05/2020;730;44641;1071
22/05/2020;771;48350;1154
23/05/2020;832;51399;1261
24/05/2020;851;54544;1380
25/05/2020;884;58930;1480
26/05/2020;927;62285;1598
27/05/2020;959;66011;1737
28/05/2020;977;69915;1866
29/05/2020;1014;72910;2007
30/05/2020;1022;76251;2157
31/05/2020;1033;80504;2288
01/06/2020;1088;85239;2446
02/06/2020;1090;88194;2603
03/06/2020;1112;92191;2770
04/06/2020;1128;95890;2935
05/06/2020;1147;99066;3106
06/06/2020;1144;103194;3284
07/06/2020;1174;108462;3448
08/06/2020;1182;112136;3603
09/06/2020;1172;115126;3790
10/06/2020;1179;119746;3966
11/06/2020;1185;124135;4152
12/06/2020;1207;129694;4335
13/06/2020;1207;134751;4530
14/06/2020;1257;140398;4706
15/06/2020;1270;144280;4877
16/06/2020;1271;148302;5065
17/06/2020;1329;180532;5253
18/06/2020;1372;183553;5393
19/06/2020;1411;187974;5560
20/06/2020;1437;191577;5709
21/06/2020;1459;195366;5858
22/06/2020;1469;198392;5998
23/06/2020;1467;200861;6137
24/06/2020;1482;203211;6274
25/06/2020;1495;206246;6412
26/06/2020;1479;208862;6551
27/06/2020;1498;211819;6676
28/06/2020;1533;214388;6810
29/06/2020;1496;216896;6933
30/06/2020;1499;219151;7057
01/07/2020;1474;220467;7169
02/07/2020;1493;221820;7302
03/07/2020;1498;223892;7431
04/07/2020;1480;226128;7533
05/07/2020;1485;228208;7627
06/07/2020;1474;229856;7740
07/07/2020;1453;231171;7855
08/07/2020;1449;232158;7968
09/07/2020;1424;233845;8082
10/07/2020;1422;235370;8169
11/07/2020;1424;236699;8258
12/07/2020;1429;238360;8347
13/07/2020;1378;239791;8451
14/07/2020;1376;240655;8539
15/07/2020;1336;241345;8623
16/07/2020;1274;242572;8722
17/07/2020;1260;244073;8803
18/07/2020;1240;245161;8876
19/07/2020;1223;245983;8942
20/07/2020;1210;246946;9012
21/07/2020;1185;247622;9102
22/07/2020;1159;248352;9176
23/07/2020;1134;249355;9234
24/07/2020;1109;250420;9315
25/07/2020;1096;251317;9383
26/07/2020;1069;252122;9441
27/07/2020;1040;253028;9528
28/07/2020;1026;253688;9600
29/07/2020;1001;254354;9677
30/07/2020;979;255020;9745
31/07/2020;953;255841;9813
01/08/2020;953;256628;9900
02/08/2020;950;257394;9960
03/08/2020;945;258080;10020
04/08/2020;939;258579;10086
05/08/2020;937;259224;10147
06/08/2020;899;259922;10197
07/08/2020;876;260657;10264
08/08/2020;842;261361;10312
09/08/2020;821;262056;10355
10/08/2020;826;262647;10398
11/08/2020;811;263095;10451
12/08/2020;801;263567;10501
13/08/2020;802;264222;10552
14/08/2020;792;264989;10614
15/08/2020;741;265515;10666
16/08/2020;723;266162;10716
17/08/2020;708;266656;10774
18/08/2020;693;267000;10828
19/08/2020;669;267327;10893
20/08/2020;649;267924;10955
21/08/2020;631;268476;11025
22/08/2020;610;269118;11075
23/08/2020;582;269691;11118
24/08/2020;572;270199;11179
25/08/2020;561;270658;11229
26/08/2020;563;271016;11279
27/08/2020;569;271486;11331
28/08/2020;539;272039;11372
29/08/2020;519;272598;11420
30/08/2020;518;273239;11470
31/08/2020;521;273720;11531
01/09/2020;508;274145;11580
02/09/2020;494;274611;11625
03/09/2020;488;275138;11679
04/09/2020;486;275710;11726
05/09/2020;466;276282;11776
06/09/2020;462;276900;11814
07/09/2020;471;277374;11857
08/09/2020;468;277726;11888
09/09/2020;476;278241;11894
